t_H,dBz
3.578793548513203859e-04,-5.914671419304795563e-08
3.609095001593232155e-04,-5.832291449792137428e-08
3.639524511527270079e-04,-5.752534804059905582e-08
3.670082078315317631e-04,-5.665675217869647895e-08
3.700767701957374811e-04,-5.565785698991021491e-08
3.731581382453441620e-04,-5.469726716000877786e-08
3.762523119803518057e-04,-5.394979751827122527e-08
3.793592622969299555e-04,-5.336109865083926707e-08
3.824790182989090681e-04,-5.266549152338484419e-08
3.856115799862891436e-04,-5.177169981607221416e-08
3.887569473590701818e-04,-5.086189958092290908e-08
3.919151204172521830e-04,-5.006660686035502295e-08
3.950860991608351469e-04,-4.930910790790221654e-08
3.982698835898190737e-04,-4.846144463499513222e-08
4.014664737042039633e-04,-4.759005634014101815e-08
4.046758404001593590e-04,-4.684593335468889563e-08
4.078980127815157175e-04,-4.622548033239581855e-08
4.111329908482730389e-04,-4.555410271223081509e-08
4.143807746004313231e-04,-4.476968484823373728e-08
4.176413640379905701e-04,-4.395945296664649504e-08
4.209147591609507799e-04,-4.326196645365598670e-08
4.242009599693119526e-04,-4.267910469479829771e-08
4.274999664630740881e-04,-4.214348692244129779e-08
4.308117786422371864e-04,-4.158336608384161082e-08
4.341363965068012476e-04,-4.099301520454901038e-08
4.374738200567662716e-04,-4.036793654904613504e-08
4.408240201883018017e-04,-3.970428252841884387e-08
4.441870260052382946e-04,-3.905826062577943958e-08
4.475628375075757504e-04,-3.851697982781843166e-08
4.509514546953141689e-04,-3.810438187201725668e-08
4.543528775684535503e-04,-3.770465184516069712e-08
4.577671061269938946e-04,-3.720337105050930404e-08
4.611941403709352016e-04,-3.659724256976915058e-08
4.646339803002774715e-04,-3.598966458184804651e-08
4.680866259150207043e-04,-3.547723181895889866e-08
4.715520772151648998e-04,-3.507047097173199290e-08
4.750303342007100582e-04,-3.469539322509263002e-08
4.785213968716561794e-04,-3.428530348514868820e-08
4.820252652280032635e-04,-3.381740043550962582e-08
4.855419392697513103e-04,-3.330852393901295727e-08
4.890714189969003201e-04,-3.281624216810996586e-08
4.926137044094502926e-04,-3.239485124595375964e-08
4.961687955074012280e-04,-3.205568077646603342e-08
4.997366922907531261e-04,-3.172484852598245197e-08
5.033173947595059872e-04,-3.135680515242711408e-08
5.069109029136598110e-04,-3.092336697818609537e-08
5.105172167532145977e-04,-3.047264840461139102e-08
5.141363362781703472e-04,-3.004439719234142103e-08
5.177682614885270596e-04,-2.963569656344589021e-08
5.214129923842847347e-04,-2.923010100630563102e-08
5.250705289654433727e-04,-2.883610505932665546e-08
5.287408712320029736e-04,-2.845633417791759712e-08
5.324240191839635372e-04,-2.806741505878562748e-08
5.361199728213250637e-04,-2.764991080539402901e-08
5.398287321440875530e-04,-2.723026426565411384e-08
5.435502971522510052e-04,-2.685851008266126883e-08
5.472846678458154202e-04,-2.652745934028644115e-08
5.510318442247807980e-04,-2.620811834219693992e-08
5.547918262891471386e-04,-2.586991598718668683e-08
5.585646140389144421e-04,-2.550777367105183657e-08
5.623502074740827084e-04,-2.515299968308681855e-08
5.661486065946519375e-04,-2.483895222837873007e-08
5.699598114006221294e-04,-2.458093817381268309e-08
5.737838218919932842e-04,-2.432393664264509425e-08
5.776206380687654018e-04,-2.398931897573675087e-08
5.814702599309384823e-04,-2.360862794148488319e-08
5.853326874785125256e-04,-2.329801240819051600e-08
5.892079207114875317e-04,-2.309888813556426612e-08
5.930959596298635006e-04,-2.289008449452012428e-08
5.969968042336404324e-04,-2.255753628332968219e-08
6.009104545228183270e-04,-2.218449246527143259e-08
6.048369104973971844e-04,-2.193946180284456204e-08
6.087761721573770046e-04,-2.181734259920631303e-08
6.127282395027577877e-04,-2.163433165947026282e-08
6.166931125335395336e-04,-2.128375165000306879e-08
6.206707912497222424e-04,-2.088571093850077887e-08
6.246612756513059139e-04,-2.062493820176314330e-08
6.286645657382905483e-04,-2.051350023180020798e-08
6.326806615106761456e-04,-2.038439461671259778e-08
6.367095629684627056e-04,-2.013192812455599778e-08
