t_H,dBz
1.760981249390169978e-04,-9.637564289732836187e-06
1.797796576283872128e-04,-9.584747203916776925e-06
1.834994764067232609e-04,-9.074748049897607416e-06
1.872575958259403706e-04,-9.000948011816944927e-06
1.910540013341233134e-04,-8.546083336113952100e-06
1.948886929312720895e-04,-8.459789569315034896e-06
1.987616851693019271e-04,-8.069516297837253660e-06
2.026729634962975979e-04,-7.989476216607727110e-06
2.066225424641743302e-04,-7.651546184206381440e-06
2.106104220729321241e-04,-7.559725872852141038e-06
2.146366023225709796e-04,-7.250716407725121826e-06
2.187010832130908966e-04,-7.153635124268475920e-06
2.228038647444918752e-04,-6.888804819027427584e-06
2.269449614686891437e-04,-6.801892141083953902e-06
2.311243588337674737e-04,-6.566962838405743241e-06
2.353420713916420937e-04,-6.469211257353890687e-06
2.395980845903977752e-04,-6.251350441743852571e-06
2.438924129819497466e-04,-6.157339612400392070e-06
2.482250565662980080e-04,-5.970056918158661574e-06
2.525960153434425592e-04,-5.879815944354049861e-06
2.570053038652986288e-04,-5.706719548470573500e-06
2.614528930280357599e-04,-5.614600922854151577e-06
2.659388119354844093e-04,-5.459898602566681802e-06
2.704630314838141203e-04,-5.372524356062058359e-06
2.750255807768553495e-04,-5.231024260865524411e-06
2.796264598146080971e-04,-5.143822818354237825e-06
2.842656685970723629e-04,-5.014978796680225059e-06
2.889432071242481470e-04,-4.931255716655869037e-06
2.936590753961354494e-04,-4.811836333828978240e-06
2.984132734127342701e-04,-4.728847670776303858e-06
3.032058011740446091e-04,-4.620042091119103134e-06
3.080366586800664663e-04,-4.542665010376367718e-06
3.129058459307998419e-04,-4.442454155650921166e-06
3.178133629262447357e-04,-4.365113454696256667e-06
3.227592096664011478e-04,-4.270245881343726069e-06
3.277433861512690783e-04,-4.196417648927308619e-06
3.327659214846789837e-04,-4.109237124794162810e-06
3.378267865628004074e-04,-4.037823146063601598e-06
3.429259813856333494e-04,-3.955470219807466492e-06
3.480635059531778097e-04,-3.886957529175560921e-06
3.532393893692642450e-04,-3.810486759903142229e-06
3.584536025300621986e-04,-3.744654350157361478e-06
3.637061745394021273e-04,-3.672100774565478787e-06
3.689970762934535742e-04,-3.608327006077161059e-06
3.743263368960469961e-04,-3.539581030054250732e-06
3.796939272433519363e-04,-3.477831342024728656e-06
3.850998764391988516e-04,-3.412371142985648476e-06
3.905441844835877419e-04,-3.353162810526555404e-06
3.960268222726881504e-04,-3.291564098617527634e-06
4.015478189103305340e-04,-3.234902123949723318e-06
4.071071743965148926e-04,-3.176239715685369447e-06
4.127048887312412262e-04,-3.121630925306817517e-06
4.183409328106790781e-04,-3.065595137741183862e-06
4.240153357386589050e-04,-3.012744400621159002e-06
4.297280975151807070e-04,-2.958796585517120548e-06
4.354792181402444839e-04,-2.907629550463752821e-06
4.412686976138502359e-04,-2.856031187548069283e-06
4.470965359359979630e-04,-2.806878001138102263e-06
4.529627331066876650e-04,-2.757581569312606007e-06
4.588672891259193420e-04,-2.710343551370897330e-06
4.648102039936929941e-04,-2.663043005668441765e-06
4.707914777100086212e-04,-2.617259042381192558e-06
4.768111102748662233e-04,-2.571402546891476959e-06
4.828691016882658005e-04,-2.527058313717134297e-06
4.889654810540378094e-04,-2.483292519173119217e-06
4.951002192683517933e-04,-2.441264314256841317e-06
5.012733163312077522e-04,-2.399666072960826568e-06
5.074847722426056862e-04,-2.358678784730727784e-06
5.137345870025455952e-04,-2.317155576747609302e-06
5.200227606110274792e-04,-2.276049372085253708e-06
5.263492930680513382e-04,-2.235772171843564138e-06
5.327141843736171722e-04,-2.197592493757838383e-06
5.391174927353858948e-04,-2.160931671824073419e-06
5.455591599456965923e-04,-2.125066203007008880e-06
5.520391860045492649e-04,-2.088674136757617816e-06
5.585575709119439125e-04,-2.051903265964938328e-06
5.651143146678805351e-04,-2.015273366851033643e-06
5.717094754800200462e-04,-1.979966100407182239e-06
5.783429951407015324e-04,-1.946125621543615125e-06
5.850148736499249935e-04,-1.913294909172691405e-06
5.917251110076904297e-04,-1.880467152659548447e-06
5.984737654216587543e-04,-1.847437943069962785e-06
6.052607786841690540e-04,-1.814669758459785953e-06
6.120861507952213287e-04,-1.783022753443219699e-06
6.189499399624764919e-04,-1.752556954670581035e-06
6.258520879782736301e-04,-1.722790102576254867e-06
6.327925948426127434e-04,-1.693111016720649786e-06
6.397715187631547451e-04,-1.663465354795334861e-06
6.467888015322387218e-04,-1.634028194530401379e-06
6.538444431498646736e-04,-1.605120587555575185e-06
6.609385018236935139e-04,-1.576930344526772387e-06
6.680709193460643291e-04,-1.549541480017069262e-06
6.752416957169771194e-04,-1.522722186564351432e-06
6.824508891440927982e-04,-1.496159256930695847e-06
6.896984414197504520e-04,-1.469854623792343773e-06
6.969844107516109943e-04,-1.444127860850130673e-06
7.043087389320135117e-04,-1.419034560967702419e-06
7.116714259609580040e-04,-1.394181253999704495e-06
7.190725300461053848e-04,-1.369340225210180506e-06
7.265119929797947407e-04,-1.344903921562945470e-06
7.339898729696869850e-04,-1.321340278082061559e-06
7.415061118081212044e-04,-1.298448751185787842e-06
7.490607677027583122e-04,-1.275590079785615671e-06
7.566537824459373951e-04,-1.252637161996972281e-06
7.642852142453193665e-04,-1.230187081091571599e-06
