t_H,dBz
7.385672652162611485e-04,-1.066154453610579367e-08
7.439527544192969799e-04,-1.047164399636812959e-08
7.493578596040606499e-04,-1.028393015189976722e-08
7.547825225628912449e-04,-1.009951411390375142e-08
7.602268015034496784e-04,-9.921258481426775688e-09
7.656906964257359505e-04,-9.748395868314219115e-09
7.711741491220891476e-04,-9.575903625602677494e-09
7.766772178001701832e-04,-9.406134537925936456e-09
7.821999024599790573e-04,-9.243420251436873514e-09
7.877422031015157700e-04,-9.083382934704786749e-09
7.933040615171194077e-04,-8.924523342557222350e-09
7.988855359144508839e-04,-8.769587722667893104e-09
8.044866262935101986e-04,-8.619490010630670440e-09
8.101073326542973518e-04,-8.471057633130385511e-09
8.157475967891514301e-04,-8.326844103123676177e-09
8.214074769057333469e-04,-8.184020572343797539e-09
8.270869730040431023e-04,-8.044985122523939935e-09
8.327860268764197826e-04,-7.910045951575739309e-09
8.385046967305243015e-04,-7.775335930659821315e-09
8.442429825663566589e-04,-7.643671473545055051e-09
8.500008843839168549e-04,-7.515951416792177042e-09
8.557783439755439758e-04,-7.391398160194739830e-09
8.615754195488989353e-04,-7.269069346449441582e-09
8.673921111039817333e-04,-7.146407465796755787e-09
8.732284186407923698e-04,-7.028706949796514891e-09
8.790843421593308449e-04,-6.913164263266935450e-09
8.849598234519362450e-04,-6.799849572303173773e-09
8.908549207262694836e-04,-6.688460452153321967e-09
8.967696339823305607e-04,-6.578427580450352252e-09
9.027039632201194763e-04,-6.472114399969086662e-09
9.086578502319753170e-04,-6.367559812758827320e-09
9.146313532255589962e-04,-6.263052299004812085e-09
9.206244722008705139e-04,-6.162668153564254681e-09
9.266372071579098701e-04,-6.064447610754086782e-09
9.326694998890161514e-04,-5.967790706051800953e-09
9.387214086018502712e-04,-5.871823027803202422e-09
9.447929332964122295e-04,-5.777742728696466656e-09
9.508840739727020264e-04,-5.687160076206509984e-09
9.569948306307196617e-04,-5.597218688535576803e-09
9.631251450628042221e-04,-5.508446143664968986e-09
9.692750754766166210e-04,-5.422280846545390887e-09
9.754446218721568584e-04,-5.338131270349322222e-09
9.816337842494249344e-04,-5.253823154305337084e-09
9.878425626084208488e-04,-5.171687966765148303e-09
9.940708987414836884e-04,-5.091814969659935741e-09
1.000318909063935280e-03,-5.014598514208046254e-09
1.006586477160453796e-03,-4.937461106635510077e-09
1.012873603031039238e-03,-4.859666002943185958e-09
1.019180403091013432e-03,-4.785021268105538184e-09
1.025506760925054550e-03,-4.712281675978147177e-09
1.031852792948484421e-03,-4.641983242237301965e-09
1.038218382745981216e-03,-4.571151457355426828e-09
1.044603530317544937e-03,-4.501719885752208938e-09
1.051008352078497410e-03,-4.434521194696117163e-09
1.057432731613516808e-03,-4.367363359847331594e-09
1.063876785337924957e-03,-4.300675371382567391e-09
1.070340396836400032e-03,-4.237048933930509520e-09
1.076823566108942032e-03,-4.175799261929569184e-09
1.083326409570872784e-03,-4.113245299919299214e-09
1.089848810806870461e-03,-4.050690449730609544e-09
1.096390886232256889e-03,-3.991109664980285743e-09
1.102952519431710243e-03,-3.933139147704878269e-09
1.109533710405230522e-03,-3.874740528431175335e-09
1.116134575568139553e-03,-3.818604099592448620e-09
1.122754998505115509e-03,-3.762961942044285024e-09
1.129395095631480217e-03,-3.708071405483792660e-09
1.136054750531911850e-03,-3.654530233987429710e-09
1.142734079621732235e-03,-3.601756226601082744e-09
1.149432966485619545e-03,-3.549235794153560164e-09
1.156151411123573780e-03,-3.498512146649090937e-09
1.162889529950916767e-03,-3.448950902651404249e-09
1.169647206552326679e-03,-3.399069026244205816e-09
1.176424557343125343e-03,-3.350514088396039369e-09
1.183221465907990932e-03,-3.302847773056782898e-09
1.190037932246923447e-03,-3.256670488838153688e-09
1.196874072775244713e-03,-3.210538501718929183e-09
1.203729771077632904e-03,-3.164958961576758156e-09
1.210605143569409847e-03,-3.120557368063714421e-09
1.217500073835253716e-03,-3.076568111382016468e-09
1.224414678290486336e-03,-3.033902906679486478e-09
1.231348840519785881e-03,-2.991408454278143836e-09
1.238302560523152351e-03,-2.950201860585366376e-09
1.245275954715907574e-03,-2.909299912090546059e-09
1.252268906682729721e-03,-2.869085857781783488e-09
1.259281532838940620e-03,-2.829148471050757507e-09
1.266313716769218445e-03,-2.790869313429311660e-09
1.273365574888885021e-03,-2.752540195771757681e-09
1.280436990782618523e-03,-2.714183988672402847e-09
1.287527964450418949e-03,-2.677381871762918308e-09
1.294638612307608128e-03,-2.641682872450701325e-09
1.301768817938864231e-03,-2.606032722951567848e-09
1.308918697759509087e-03,-2.570044177474528624e-09
1.316088135354220867e-03,-2.535861298724739754e-09
1.323277247138321400e-03,-2.502269946802471168e-09
1.330485916696488857e-03,-2.467047899301633151e-09
1.337714144028723240e-03,-2.434562773601101071e-09
1.344962045550346375e-03,-2.403849119758660891e-09
1.352229504846036434e-03,-2.370543317198325894e-09
1.359516638331115246e-03,-2.338807814084020720e-09
1.366823329590260983e-03,-2.308913060744544055e-09
1.374149695038795471e-03,-2.277854349586050375e-09
1.381495618261396885e-03,-2.247261043919479562e-09
1.388861099258065224e-03,-2.218358385874807936e-09
1.396246254444122314e-03,-2.189937120533613779e-09
1.403650967404246330e-03,-2.160578826959635990e-09
1.411075354553759098e-03,-2.131588683340623902e-09
1.418519299477338791e-03,-2.105026153387257182e-09
1.425982918590307236e-03,-2.077725103077909807e-09
1.433466095477342606e-03,-2.050919878371360028e-09
1.440968946553766727e-03,-2.024561851499129261e-09
1.448491355404257774e-03,-1.997827236976945642e-09
1.456033322028815746e-03,-1.972255692095359336e-09
1.463594962842762470e-03,-1.947467520579948541e-09
1.471176161430776119e-03,-1.922826786682207967e-09
1.478777034208178520e-03,-1.897737078593308979e-09
1.486397464759647846e-03,-1.874311594818323101e-09
1.494037569500505924e-03,-1.849742359283368387e-09
1.501697232015430927e-03,-1.826380935376903381e-09
1.509376568719744682e-03,-1.803857063720215592e-09
1.517075463198125362e-03,-1.781220948515738201e-09
1.524793915450572968e-03,-1.758542422791720128e-09
1.532532041892409325e-03,-1.736251364903296235e-09
1.540289726108312607e-03,-1.715054098738733046e-09
1.548067084513604641e-03,-1.694106410710105592e-09
1.555864000692963600e-03,-1.672394445151326181e-09
1.563680591061711311e-03,-1.651393910506726570e-09
1.571516739204525948e-03,-1.631943136182201215e-09
1.579372561536729336e-03,-1.611115907351745591e-09
1.587247941642999649e-03,-1.591242027032535589e-09
1.595142995938658714e-03,-1.571612839867952971e-09
1.603057608008384705e-03,-1.552847184171923800e-09
1.610991777852177620e-03,-1.533849824930655359e-09
1.618945621885359287e-03,-1.514828040782845164e-09
1.626919023692607880e-03,-1.496081925012049396e-09
1.634912099689245224e-03,-1.478101641083640061e-09
1.642924733459949493e-03,-1.460419452037342580e-09
1.650957041420042515e-03,-1.443580699422852831e-09
1.659008907154202461e-03,-1.425402240684547905e-09
1.667080447077751160e-03,-1.408263949898014289e-09
1.675171544775366783e-03,-1.390994208705365054e-09
1.683282316662371159e-03,-1.374373725937516610e-09
1.691412646323442459e-03,-1.358317236466177746e-09
1.699562533758580685e-03,-1.342488120670282115e-09
1.707732095383107662e-03,-1.326575960192144521e-09
1.715921214781701565e-03,-1.310307640167707177e-09
1.724130008369684219e-03,-1.294415241659407911e-09
1.732358359731733799e-03,-1.279795047715026612e-09
1.740606385283172131e-03,-1.265048732435047896e-09
1.748873968608677387e-03,-1.249618297727295158e-09
1.757161226123571396e-03,-1.234793711724080367e-09
1.765468041412532330e-03,-1.220356926623367144e-09
1.773794530890882015e-03,-1.206608146731014131e-09
1.782140578143298626e-03,-1.192155263396443843e-09
1.790506299585103989e-03,-1.178350972352859571e-09
1.798891578800976276e-03,-1.164919050111734578e-09
1.807296415790915489e-03,-1.151413631106379398e-09
1.815720926970243454e-03,-1.137713701027109892e-09
1.824164995923638344e-03,-1.124770387939122429e-09
1.832628739066421986e-03,-1.111777558904236685e-09
1.841112039983272552e-03,-1.099051960551378215e-09
1.849615015089511871e-03,-1.086702172692355362e-09
1.858137547969818115e-03,-1.074243582976919242e-09
1.866679755039513111e-03,-1.061866372609188147e-09
1.875241519883275032e-03,-1.049897724314519110e-09
1.883822958916425705e-03,-1.037885444254982303e-09
1.892423955723643303e-03,-1.026434937045905826e-09
1.901044626720249653e-03,-1.014994754910958363e-09
1.909684855490922928e-03,-1.002240734848669490e-09
1.918344758450984955e-03,-9.916037990720383277e-10
1.927024219185113907e-03,-9.812315404644778027e-10
1.935723354108631611e-03,-9.696894398558697503e-10
1.944442046806216240e-03,-9.590658267555340899e-10
1.953180413693189621e-03,-9.479734774942016884e-10
